frequency,total,recalls,recall_probability,need_odds,unique_words
1,1698125,2680,0.0015782112624217887,0.0015807059503552164,['impose' 'million' 'april' ... 'expired' 'accommodative' 'regardless']
2,318144,1246,0.003916465499899416,0.003931864511609413,['imports' 'goods' 'retaliation' ... 'speech' 'inflows' 'required']
3,102281,726,0.007098092509850314,0.007148835606321697,"['japanese' 'electronics' 'exports' 'lt' 'surplus' 'south' 'korea'
 'tariffs' 'businessmen' 'taiwan' 'year' 'imports' 'billion' 'dollars'
 'last' 'also' 'minister' 'industry' 'percent' 'china' 'hong' 'kong'
 'energy' 'demand' 'miti' 'u' 'million' 'japan' 'supply' 'trade' 'natural'
 'oil' 'first' 'quarter' 'baht' 'lower' 'prices' 'cpo' 'indonesia' 'palm'
 'harahap' 'import' 'export' 'nsw' 'ban' 'ports' 'port' 'shipping'
 'indonesian' 'commodity' 'exchange' 'trading' 'week' 'rubber' 'coffee'
 'five' 'nainggolan' 'start' 'officials' 'tonnes' 'april' 'mine' 'wmc'
 'gold' 'bank' 'sumitomo' 'two' 'banks' 'new' 'subroto' 'pact' 'extension'
 'komatsu' 'sixth' 'ita' 'business' 'spokesman' 'corp' 'mining' 'net'
 'liquidity' 'copper' 'company' 'marks' 'market' 'development'
 'bundesbank' 'statement' 'industrial' 'output' 'would' 'farm' 'ministry'
 'bond' 'open' 'atlas' 'agriculture' 'due' 'sales' 'largest' 'products'
 'share' 'issue' 'amatil' 'beef' 'profit' 'around' 'bills' 'said'
 'government' 'growth' 'vs' 'debit' 'rose' 'kim' 'current' 'account' 'stg'
 'foreign' 'reduce' 'major' 'partners' 'study' 'plant' 'canada' 'celanese'
 'mtbe' 'lead' 'canadian' 'debt' 'neste' 'oy' 'edmonton' 'ltd' 'cra'
 'whim' 'creek' 'nl' 'forrest' 'workers' 'bowater' 'reported' 'showed'
 'profits' 'norway' 'banking' 'crowns' 'economic' 'vieille' 'montagne'
 'loss' 'francs' 'exceptional' 'citibank' 'tin' 'ec' 'international'
 'whether' 'march' 'zinc' 'european' 'anheuser' 'busch' 'buying' 'shares'
 'san' 'miguel' 'diaz' 'told' 'b' 'australian' 'tender' 'sugar' 'bid'
 'markets' 'reuters' 'month' 'inflow' 'high' 'rates' 'currency'
 'australia' 'analysts' 'dollar' 'interest' 'tough' 'policy' 'reserve'
 'yen' 'money' 'offshore' 'buttrose' 'investors' 'particularly' 'recent'
 'investment' 'economy' 'real' 'bankers' 'kuwait' 'credit' 'one' 'say'
 'years' 'al' 'reserves' 'budget' 'spending' 'soybean' 'expected' 'likely'
 'may' 'monier' 'redland' 'malaysia' 'growers' 'half' 'dividend' 'already'
 'talks' 'kuroda' 'data' 'bell' 'standard' 'steel' 'nippon' 'firms'
 'bonus' 'jardine' 'matheson' 'quoted' 'chairman' 'saying' 'shareholders'
 'official' 'cojuangco' 'board' 'de' 'los' 'angeles' 'sec' 'pesos' 'ucpb'
 'suit' 'filed' 'eduardo' 'sequestered' 'soriano' 'buyers' 'crop' 'crops'
 'region' 'traders' 'award' 'cane' 'fondiaria' 'report' 'mi' 'lire' 'rise'
 'nickel' 'shearson' 'compared' 'higher' 'lb' 'average' 'dutch' 'firm'
 'dsm' 'german' 'germany' 'could' 'mark' 'guilders' 'inflation' 'auxton'
 'california' 'stauffer' 'inc' 'chesebrough' 'several' 'conrac' 'parties'
 'acquisition' 'ldp' 'unilever' 'cents' 'shr' 'qtr' 'dispute' 'general'
 'cargo' 'employers' 'redundancies' 'sector' 'union' 'called' 'rubbermaid'
 'band' 'bought' 'savings' 'given' 'expects' 'earnings' 'deskpro'
 'hawaiian' 'zero' 'proxmire' 'legislation' 'compaq' 'days' 'takeovers'
 'requirement' 'stock' 'takeover' 'bill' 'margin' 'act' 'brazil' 'trust'
 'payments' 'term' 'stoltenberg' 'paris' 'accord' 'agreement' 'countries'
 'louvre' 'poehl' 'west' 'well' 'operations' 'paxar' 'bashaw' 'erskine'
 'entourage' 'f' 'w' 'woolworth' 'co' 'hikes' 'beet' 'record' 'white'
 'quota' 'tomorrow' 'supervisory' 'facilities' 'vw' 'national' 'services'
 'service' 'c' 'price' 'maize' 'hanover' 'increase' 'split' 'retail'
 'meal' 'imf' 'wedgestone' 'n' 'j' 'security' 'sun' 'heating' 'barge'
 'gallon' 'grain' 'producers' 'feared' 'estimates' 'sunflower' 'yield'
 'production' 'later' 'harvesting' 'season' 'buenos' 'aires' 'cordoba'
 'la' 'pampa' 'area' 'sown' 'earlier' 'figure' 'treasury' 'meeting'
 'group' 'central' 'italian' 'end' 'customer' 'reader' 'digest' 'finance'
 'continental' 'initial' 'distribution' 'payout' 'common' 'revs'
 'approved' 'bristol' 'sci' 'med' 'myers' 'sale' 'including'
 'petrochemical' 'chemical' 'dow' 'oreffice' 'gaf' 'dosher' 'capacity'
 'chemicals' 'businesses' 'plants' 'specialty' 'cain' 'three' 'includes'
 'pretax' 'tax' 'gain' 'financial' 'raytheon' 'qtly' 'div' 'fleet'
 'dominion' 'calls' 'burlington' 'rumor' 'textile' 'rumors' 'dufour'
 'making' 'dlr' 'cocoa' 'fed' 'manager' 'buffer' 'world' 'cpa' 'sources'
 'honduras' 'agent' 'non' 'morgan' 'losses' 'problems' 'brito' 'storage'
 'information' 'restrictions' 'exchanges' 'annual' 'ccl' 'french' 'metals'
 'per' 'london' 'association' 'franc' 'ferrous' 'madeira' 'agrimont'
 'montedison' 'spa' 'datron' 'officers' 'trump' 'interstate' 'alexanders'
 'properties' 'tunisia' 'wheat' 'six' 'months' 'note' 'avg' 'shrs' 'mths'
 'harcourt' 'sell' 'edelman' 'avert' 'reagan' 'hoechst' 'semiconductor'
 'carolina' 'american' 'polyester' 'fiber' 'gec' 'comment' 'deposit'
 'icch' 'cut' 'nine' 'pay' 'daily' 'free' 'income' 'series' 'heineken'
 'spanish' 'fund' 'lord' 'abbett' 'europe' 'beer' 'prior' 'van' 'schaik'
 'adding' 'africa' 'coebergh' 'colombia' 'greece' 'turkey' 'insurance'
 'medical' 'frontier' 'oper' 'committee' 'zeeuw' 'members' 'today' 'meet'
 'house' 'four' 'wallin' 'pacemakers' 'council' 'session' 'bales'
 'pakistan' 'cotton' 'spie' 'batignolles' 'comstock' 'take' 'charge'
 'showboat' 'fiscal' 'third' 'houssels' 'atlantic' 'city' 'hotel'
 'pacific' 'loans' 'ecuador' 'troops' 'occupied' 'iranians' 'communique'
 'iraqi' 'iranian' 'iraq' 'forces' 'usda' 'meat' 'texas' 'barrels'
 'houston' 'united' 'gas' 'ual' 'pilots' 'held' 'proposal' 'airline'
 'strategy' 'iran' 'heller' 'slower' 'hartmarx' 'meinert' 'monetary'
 'return' 'ministers' 'building' 'inspection' 'poultry' 'contaminated'
 'programs' 'cases' 'fsis' 'salmonella' 'chrysler' 'renault' 'letter'
 'date' 'motors' 'intent' 'companies' 'says' 'electric' 'strong' 'ge'
 'results' 'ago' 'rca' 'revenues' 'teck' 'cominco' 'townson' 'venture'
 'lornex' 'highland' 'valley' 'short' 'tons' 'owned' 'total' 'ibm'
 'wendel' 'kiena' 'day' 'caterpillar' 'unit' 'zondervan' 'corn' 'states'
 'steers' 'vulcan' 'miller' 'mexican' 'strata' 'operating' 'schedule'
 'quality' 'ccc' 'premiums' 'discounts' 'comments' 'cascade' 'rights'
 'spirits' 'distillers' 'brands' 'wojnilower' 'expenses' 'associated'
 'intercare' 'carney' 'shipments' 'iae' 'impact' 'technologies' 'senate'
 'brazilian' 'williams' 'pipeline' 'restructuring' 'able' 'proposed'
 'petroleum' 'bpd' 'help' 'agreed' 'volcker' 'deficit' 'amount' 'bags'
 'registered' 'arango' 'acquisitions' 'koehler' 'transactions' 'tobacco'
 'domestic' 'rate' 'problem' 'system' 'delhi' 'gatt' 'round' 'aluminium'
 'csr' 'casting' 'equipment' 'showa' 'denko' 'control' 'rice' 'mpt'
 'political' 'telecommunications' 'important' 'merger' 'former'
 'governors' 'reaffirmed' 'view' 'france' 'rio' 'tinto' 'plc' 'dealers']"
4,52331,523,0.009994076169001165,0.010094966028412599,"['taiwan' 'tariffs' 'billion' 'dollars' 'last' 'hong' 'kong' 'exports'
 'japan' 'percent' 'china' 'u' 'energy' 'million' 'japanese' 'trade'
 'demand' 'miti' 'year' 'oil' 'first' 'quarter' 'indonesia' 'palm' 'cpo'
 'nsw' 'ports' 'indonesian' 'exchange' 'trading' 'rubber' 'coffee' 'mine'
 'tonnes' 'bank' 'komatsu' 'business' 'extension' 'securities' 'pact'
 'sumitomo' 'today' 'liquidity' 'atlas' 'marks' 'bond' 'market' 'mining'
 'two' 'bundesbank' 'company' 'corp' 'development' 'industrial' 'would'
 'farm' 'open' 'beef' 'agriculture' 'largest' 'also' 'products' 'issue'
 'imports' 'said' 'debit' 'south' 'korea' 'surplus' 'government' 'around'
 'vs' 'stg' 'foreign' 'plant' 'kim' 'mtbe' 'lead' 'debt' 'canada'
 'canadian' 'statement' 'lt' 'whim' 'creek' 'gold' 'bowater' 'profit'
 'citibank' 'norway' 'banking' 'vieille' 'montagne' 'net' 'loss' 'francs'
 'ec' 'tin' 'tender' 'shares' 'buying' 'ltd' 'sugar' 'anheuser' 'busch'
 'san' 'miguel' 'australian' 'markets' 'month' 'australia' 'currency'
 'economic' 'money' 'investors' 'buttrose' 'analysts' 'dollar' 'offshore'
 'kuwait' 'bankers' 'say' 'budget' 'malaysia' 'output' 'growers' 'soybean'
 'expected' 'monier' 'new' 'half' 'yen' 'kuroda' 'talks' 'bell' 'standard'
 'steel' 'nippon' 'jardine' 'matheson' 'b' 'de' 'los' 'angeles' 'board'
 'sec' 'ucpb' 'suit' 'sequestered' 'soriano' 'smc' 'spokesman'
 'queensland' 'nickel' 'shearson' 'prices' 'higher' 'guilders' 'poehl'
 'west' 'could' 'growth' 'germany' 'inflation' 'auxton' 'inc' 'unilever'
 'stauffer' 'chesebrough' 'several' 'conrac' 'ldp' 'cents' 'shr' 'dispute'
 'port' 'employers' 'bills' 'given' 'sales' 'march' 'compaq' 'proxmire'
 'legislation' 'takeovers' 'bill' 'takeover' 'trust' 'brazil' 'interest'
 'payments' 'stoltenberg' 'paris' 'accord' 'agreement' 'improved' 'strong'
 'mead' 'record' 'beet' 'dividend' 'vw' 'qtr' 'class' 'one' 'stock'
 'hanover' 'security' 'n' 'j' 'services' 'april' 'price' 'maize' 'split'
 'increase' 'sun' 'estimates' 'week' 'end' 'officials' 'finance'
 'minister' 'continental' 'initial' 'shareholders' 'distribution'
 'bristol' 'sci' 'med' 'petrochemical' 'chemical' 'dow' 'industry'
 'chemicals' 'commodity' 'includes' 'financial' 'dominion' 'report'
 'burlington' 'rumor' 'textile' 'fed' 'operations' 'cocoa' 'world' 'major'
 'cpa' 'producers' 'meeting' 'earlier' 'storage' 'problems' 'capacity'
 'grain' 'crop' 'brito' 'information' 'fleet' 'french' 'metals'
 'association' 'lire' 'montedison' 'agrimont' 'datron' 'officers' 'trump'
 'interstate' 'alexanders' 'share' 'acquisition' 'revs' 'tunisia'
 'harcourt' 'edelman' 'semiconductor' 'reagan' 'celanese' 'hoechst'
 'facilities' 'gec' 'deposit' 'cut' 'icch' 'co' 'prior' 'fund' 'div' 'pay'
 'daily' 'free' 'income' 'gain' 'heineken' 'tax' 'lord' 'abbett' 'beer'
 'may' 'coebergh' 'turkey' 'insurance' 'oper' 'zeeuw' 'members'
 'committee' 'meet' 'six' 'rates' 'wallin' 'pacemakers' 'council' 'spie'
 'batignolles' 'comstock' 'pakistan' 'cotton' 'bales' 'likely' 'showboat'
 'fiscal' 'third' 'earnings' 'loans' 'ecuador' 'pacific' 'troops' 'iraqi'
 'iranian' 'communique' 'three' 'usda' 'barrels' 'union' 'texas'
 'reserves' 'ual' 'united' 'pilots' 'meinert' 'heller' 'hartmarx' 'supply'
 'monetary' 'return' 'meat' 'poultry' 'inspection' 'chrysler' 'renault'
 'letter' 'general' 'electric' 'results' 'ge' 'rca' 'teck' 'cominco'
 'lornex' 'venture' 'highland' 'valley' 'copper' 'townson' 'wheat' 'flour'
 'department' 'caterpillar' 'zondervan' 'group' 'day' 'corn' 'total'
 'states' 'mexican' 'operating' 'told' 'strata' 'cascade' 'spirits'
 'national' 'distillers' 'sale' 'brands' 'wojnilower' 'intercare' 'carney'
 'technologies' 'iae' 'gas' 'natural' 'pipeline' 'williams' 'andover'
 'plan' 'value' 'volcker' 'federal' 'registrations' 'amount' 'bags'
 'registered' 'colombia' 'american' 'transactions' 'koehler' 'tobacco'
 'current' 'account' 'central' 'rate' 'csr' 'rice' 'aluminium' 'equipment'
 'ministry' 'telecommunications' 'mpt' 'louvre' 'france' 'rio' 'tinto'
 'zinc' 'dealers']"
5,27514,352,0.012793486952097114,0.012959281348943377,"['tariffs' 'japan' 'billion' 'dollars' 'percent' 'u' 'trade' 'said'
 'energy' 'demand' 'miti' 'year' 'oil' 'nsw' 'ports' 'palm' 'exchange'
 'trading' 'rubber' 'coffee' 'business' 'sumitomo' 'komatsu' 'securities'
 'extension' 'market' 'atlas' 'bundesbank' 'bond' 'corp' 'two' 'farm'
 'imports' 'beef' 'stg' 'south' 'surplus' 'government' 'vs' 'korea'
 'million' 'kim' 'would' 'debt' 'lead' 'mtbe' 'plant' 'lt' 'statement'
 'gold' 'norway' 'profit' 'citibank' 'foreign' 'net' 'francs' 'vieille'
 'montagne' 'ec' 'sugar' 'shares' 'tonnes' 'ltd' 'last' 'san' 'miguel'
 'australian' 'australia' 'currency' 'investors' 'dollar' 'also'
 'japanese' 'bankers' 'say' 'output' 'monier' 'kuroda' 'talks' 'bell'
 'steel' 'nippon' 'china' 'jardine' 'b' 'issue' 'matheson' 'bank' 'smc'
 'ucpb' 'de' 'los' 'angeles' 'board' 'soriano' 'cane' 'nickel' 'poehl'
 'west' 'germany' 'unilever' 'stauffer' 'several' 'conrac' 'products'
 'ldp' 'cents' 'dispute' 'port' 'employers' 'qtr' 'loss' 'march' 'compaq'
 'proxmire' 'bill' 'trust' 'stoltenberg' 'agreement' 'paris' 'mead'
 'earnings' 'quarter' 'shr' 'co' 'vw' 'company' 'split' 'security'
 'services' 'inc' 'price' 'sun' 'maize' 'estimates' 'initial'
 'shareholders' 'continental' 'petrochemical' 'chemical' 'industry'
 'includes' 'dominion' 'textile' 'cocoa' 'stock' 'prices' 'world' 'sales'
 'storage' 'brazil' 'capacity' 'fleet' 'tin' 'french' 'metals' 'lire'
 'montedison' 'agrimont' 'datron' 'officers' 'trump' 'interstate' 'revs'
 'canada' 'harcourt' 'takeover' 'burlington' 'semiconductor' 'reagan'
 'hoechst' 'celanese' 'facilities' 'report' 'tax' 'lord' 'abbett' 'may'
 'prior' 'div' 'pay' 'record' 'daily' 'gain' 'heineken' 'beer' 'turkey'
 'zeeuw' 'agriculture' 'meet' 'rates' 'pacemakers' 'spie' 'batignolles'
 'comstock' 'bales' 'showboat' 'interest' 'iraqi' 'iranian' 'union'
 'texas' 'ual' 'hartmarx' 'growth' 'heller' 'monetary' 'inspection' 'meat'
 'poultry' 'chrysler' 'renault' 'letter' 'april' 'general' 'electric'
 'strong' 'first' 'rca' 'teck' 'cominco' 'copper' 'ibm' 'wheat' 'group'
 'day' 'share' 'dividend' 'corn' 'united' 'cascade' 'national' 'sale'
 'spirits' 'wojnilower' 'canadian' 'gas' 'natural' 'williams' 'pipeline'
 'hbo' 'hawkeye' 'filing' 'plan' 'encor' 'budget' 'volcker' 'federal'
 'value' 'registrations' 'american' 'brands' 'tobacco' 'koehler' 'current'
 'account' 'rate' 'rice' 'ministry' 'mpt' 'meeting' 'cut']"
6,15328,251,0.01637526096033403,0.016647874245539564,"['dollars' 'japan' 'trade' 'said' 'u' 'energy' 'percent' 'billion' 'oil'
 'palm' 'exchange' 'rubber' 'trading' 'komatsu' 'securities' 'bundesbank'
 'atlas' 'bond' 'market' 'imports' 'beef' 'stg' 'vs' 'surplus' 'south'
 'million' 'korea' 'debt' 'lead' 'mtbe' 'plant' 'would' 'lt' 'norway' 'ec'
 'tonnes' 'shares' 'ltd' 'dollar' 'bankers' 'monier' 'kuroda' 'steel'
 'china' 'jardine' 'issue' 'smc' 'de' 'los' 'angeles' 'sugar' 'poehl'
 'west' 'unilever' 'stauffer' 'conrac' 'products' 'cents' 'qtr' 'shr'
 'net' 'march' 'compaq' 'proxmire' 'bill' 'stoltenberg' 'paris' 'security'
 'services' 'price' 'bank' 'initial' 'loss' 'inc' 'year' 'chemical'
 'industry' 'profit' 'dominion' 'company' 'textile' 'cocoa' 'sales'
 'world' 'brazil' 'storage' 'french' 'agrimont' 'montedison' 'stock'
 'datron' 'revs' 'canada' 'burlington' 'takeover' 'hoechst' 'celanese'
 'gain' 'may' 'lord' 'abbett' 'tax' 'prior' 'div' 'pay' 'record'
 'heineken' 'beer' 'zeeuw' 'quarter' 'showboat' 'interest' 'union' 'texas'
 'ual' 'growth' 'heller' 'inspection' 'chrysler' 'renault' 'letter'
 'agreement' 'general' 'electric' 'first' 'strong' 'cominco' 'teck'
 'xebec' 'wheat' 'day' 'group' 'april' 'cascade' 'national' 'spirits'
 'gas' 'williams' 'encor' 'plan' 'federal' 'budget' 'deficit' 'tobacco'
 'koehler' 'ministry' 'mpt' 'rate']"
7,9068,195,0.021504190560211734,0.021976783500507156,"['u' 'said' 'japan' 'trade' 'energy' 'percent' 'oil' 'exchange' 'rubber'
 'trading' 'securities' 'atlas' 'market' 'stg' 'vs' 'surplus' 'million'
 'south' 'billion' 'dollars' 'korea' 'mtbe' 'lt' 'tonnes' 'shares' 'ltd'
 'palm' 'steel' 'smc' 'de' 'los' 'angeles' 'year' 'poehl' 'west' 'conrac'
 'cents' 'shr' 'bank' 'net' 'compaq' 'would' 'proxmire' 'bill'
 'stoltenberg' 'security' 'price' 'chemical' 'loss' 'qtr' 'dominion'
 'company' 'textile' 'cocoa' 'storage' 'french' 'montedison' 'agrimont'
 'datron' 'canada' 'burlington' 'may' 'lord' 'abbett' 'tax' 'prior'
 'heineken' 'beer' 'zeeuw' 'showboat' 'quarter' 'interest' 'union' 'texas'
 'ual' 'heller' 'chrysler' 'agreement' 'cominco' 'wheat' 'day' 'national'
 'gas' 'williams' 'debt' 'federal' 'budget' 'deficit' 'dollar' 'ministry'
 'mpt' 'profit' 'rate']"
8,7338,152,0.020714091032979012,0.021152240467575842,"['said' 'trade' 'u' 'energy' 'percent' 'oil' 'exchange' 'rubber' 'trading'
 'bundesbank' 'marks' 'atlas' 'japan' 'vs' 'million' 'surplus' 'south'
 'tonnes' 'palm' 'steel' 'shares' 'smc' 'cents' 'net' 'stg' 'dollars'
 'compaq' 'would' 'proxmire' 'billion' 'price' 'chemical' 'shr' 'qtr' 'lt'
 'textile' 'company' 'loss' 'cocoa' 'storage' 'montedison' 'datron'
 'canada' 'dominion' 'burlington' 'may' 'heineken' 'beer' 'showboat'
 'union' 'texas' 'ual' 'heller' 'chrysler' 'quarter' 'year' 'cominco'
 'day' 'national' 'gas' 'williams' 'dome' 'debt' 'deficit' 'ministry'
 'mpt' 'profit']"
9,4587,122,0.02659690429474602,0.02732362821948488,"['u' 'trade' 'said' 'percent' 'exchange' 'billion' 'atlas' 'japan' 'vs'
 'million' 'surplus' 'oil' 'palm' 'steel' 'smc' 'shares' 'net' 'cents'
 'dollars' 'would' 'proxmire' 'price' 'chemical' 'loss' 'cocoa'
 'montedison' 'canada' 'burlington' 'shr' 'may' 'heineken' 'union' 'ual'
 'chrysler' 'quarter' 'year' 'williams' 'deficit' 'stg' 'profit']"
10,2848,80,0.028089887640449437,0.028901734104046242,"['trade' 'u' 'percent' 'said' 'exchange' 'atlas' 'japan' 'vs' 'million'
 'oil' 'smc' 'shares' 'cents' 'dollars' 'would' 'proxmire' 'sugar' 'price'
 'chemical' 'net' 'loss' 'cocoa' 'may' 'heineken' 'ual' 'chrysler'
 'williams' 'dome' 'deficit' 'stg']"
11,1898,47,0.02476290832455216,0.025391680172879526,"['trade' 'percent' 'said' 'exchange' 'japan' 'u' 'million' 'oil' 'shares'
 'cents' 'dollars' 'would' 'proxmire' 'vs' 'price' 'net' 'may' 'ual'
 'chrysler' 'loss' 'dome' 'deficit' 'stg']"
12,1037,24,0.023143683702989394,0.023692003948667325,"['percent' 'said' 'japan' 'u' 'million' 'oil' 'would' 'vs' 'dollars'
 'cents' 'ual' 'dome' 'stg']"
13,536,16,0.029850746268656716,0.030769230769230767,['percent' 'u' 'vs' 'million' 'said' 'would' 'dollars' 'cents' 'stg']
14,431,14,0.03248259860788863,0.03357314148681055,['u' 'million' 'vs' 'dollars' 'cents' 'stg']
15,237,11,0.046413502109704644,0.048672566371681415,['u' 'million' 'vs' 'dollars' 'cents']
16,192,7,0.036458333333333336,0.03783783783783784,['u' 'million' 'vs' 'dollars' 'cents']
17,179,6,0.0335195530726257,0.03468208092485549,['u' 'million' 'dollars' 'vs' 'cents']
18,78,5,0.0641025641025641,0.0684931506849315,['u' 'million' 'dollars' 'vs']
19,98,3,0.030612244897959183,0.031578947368421054,['million' 'dollars' 'vs']
20,102,3,0.029411764705882353,0.030303030303030304,['million' 'dollars' 'vs']
21,118,4,0.03389830508474576,0.03508771929824561,['million' 'dollars' 'vs']
22,109,10,0.09174311926605505,0.10101010101010102,['million' 'vs' 'dollars']
23,99,3,0.030303030303030304,0.03125,['million' 'vs' 'dollars']
24,102,0,0.0,0.0,['million']
25,52,0,0.0,0.0,['million']
26,22,0,0.0,0.0,['million']
27,2,0,0.0,0.0,['million']
